fight_id,event_id,fighter_1_id,fighter_2_id,event_date,event_year
68,6,2396,1694,2025-10-18,2025
68,6,1694,2396,2025-10-18,2025
69,6,4410,4158,2025-10-18,2025
69,6,4158,4410,2025-10-18,2025
70,6,1217,1839,2025-10-18,2025
70,6,1839,1217,2025-10-18,2025
71,6,1922,1477,2025-10-18,2025
71,6,1477,1922,2025-10-18,2025
72,6,2820,1280,2025-10-18,2025
72,6,1280,2820,2025-10-18,2025
73,6,978,3179,2025-10-18,2025
73,6,3179,978,2025-10-18,2025
74,6,164,1371,2025-10-18,2025
74,6,1371,164,2025-10-18,2025
75,6,3697,3013,2025-10-18,2025
75,6,3013,3697,2025-10-18,2025
76,6,3543,268,2025-10-18,2025
76,6,268,3543,2025-10-18,2025
77,6,2314,2930,2025-10-18,2025
77,6,2930,2314,2025-10-18,2025
78,6,320,315,2025-10-18,2025
78,6,315,320,2025-10-18,2025
79,6,809,2266,2025-10-18,2025
79,6,2266,809,2025-10-18,2025
80,7,2922,1324,2025-10-11,2025
80,7,1324,2922,2025-10-11,2025
81,7,1202,1822,2025-10-11,2025
81,7,1822,1202,2025-10-11,2025
82,7,111,2324,2025-10-11,2025
82,7,2324,111,2025-10-11,2025
83,7,3148,971,2025-10-11,2025
83,7,971,3148,2025-10-11,2025
84,7,2905,3239,2025-10-11,2025
84,7,3239,2905,2025-10-11,2025
85,7,210,99,2025-10-11,2025
85,7,99,210,2025-10-11,2025
86,7,1208,613,2025-10-11,2025
86,7,613,1208,2025-10-11,2025
87,7,3107,3104,2025-10-11,2025
87,7,3104,3107,2025-10-11,2025
88,7,2582,66,2025-10-11,2025
88,7,66,2582,2025-10-11,2025
89,7,3359,2839,2025-10-11,2025
89,7,2839,3359,2025-10-11,2025
90,7,3157,2086,2025-10-11,2025
90,7,2086,3157,2025-10-11,2025
91,7,2125,2928,2025-10-11,2025
91,7,2928,2125,2025-10-11,2025
92,8,3078,155,2025-10-04,2025
92,8,155,3078,2025-10-04,2025
93,8,1052,3506,2025-10-04,2025
93,8,3506,1052,2025-10-04,2025
94,8,3185,3420,2025-10-04,2025
94,8,3420,3185,2025-10-04,2025
95,8,4412,1104,2025-10-04,2025
95,8,1104,4412,2025-10-04,2025
96,8,3200,2369,2025-10-04,2025
96,8,2369,3200,2025-10-04,2025
97,8,1353,4190,2025-10-04,2025
97,8,4190,1353,2025-10-04,2025
98,8,3540,4389,2025-10-04,2025
98,8,4389,3540,2025-10-04,2025
99,8,4291,2647,2025-10-04,2025
99,8,2647,4291,2025-10-04,2025
100,8,3636,2739,2025-10-04,2025
100,8,2739,3636,2025-10-04,2025
101,8,3791,4163,2025-10-04,2025
101,8,4163,3791,2025-10-04,2025
102,8,3536,675,2025-10-04,2025
102,8,675,3536,2025-10-04,2025
103,8,291,1532,2025-10-04,2025
103,8,1532,291,2025-10-04,2025
104,8,444,4133,2025-10-04,2025
104,8,4133,444,2025-10-04,2025
105,8,1576,4216,2025-10-04,2025
105,8,4216,1576,2025-10-04,2025
106,9,4092,3284,2025-09-27,2025
106,9,3284,4092,2025-09-27,2025
107,9,817,1122,2025-09-27,2025
107,9,1122,817,2025-09-27,2025
108,9,1849,3967,2025-09-27,2025
108,9,3967,1849,2025-09-27,2025
109,9,2364,2480,2025-09-27,2025
109,9,2480,2364,2025-09-27,2025
110,9,2864,573,2025-09-27,2025
110,9,573,2864,2025-09-27,2025
111,9,3862,321,2025-09-27,2025
111,9,321,3862,2025-09-27,2025
112,9,3425,3108,2025-09-27,2025
112,9,3108,3425,2025-09-27,2025
113,9,2734,311,2025-09-27,2025
113,9,311,2734,2025-09-27,2025
114,9,3999,2762,2025-09-27,2025
114,9,2762,3999,2025-09-27,2025
115,9,2669,611,2025-09-27,2025
115,9,611,2669,2025-09-27,2025
116,9,3093,1094,2025-09-27,2025
116,9,1094,3093,2025-09-27,2025
117,9,3994,2284,2025-09-27,2025
117,9,2284,3994,2025-09-27,2025
118,10,2288,3707,2025-09-13,2025
118,10,3707,2288,2025-09-13,2025
119,10,2457,1240,2025-09-13,2025
119,10,1240,2457,2025-09-13,2025
120,10,1341,1440,2025-09-13,2025
120,10,1440,1341,2025-09-13,2025
121,10,1348,3867,2025-09-13,2025
121,10,3867,1348,2025-09-13,2025
122,10,1648,1192,2025-09-13,2025
122,10,1192,1648,2025-09-13,2025
123,10,2321,2178,2025-09-13,2025
123,10,2178,2321,2025-09-13,2025
124,10,4023,865,2025-09-13,2025
124,10,865,4023,2025-09-13,2025
125,10,3693,3191,2025-09-13,2025
125,10,3191,3693,2025-09-13,2025
126,10,3890,2211,2025-09-13,2025
126,10,2211,3890,2025-09-13,2025
127,10,32,1524,2025-09-13,2025
127,10,1524,32,2025-09-13,2025
129,10,765,783,2025-09-13,2025
129,10,783,765,2025-09-13,2025
