feature,importance
recent_finish_loss_ratio_last_2_diff,2.0
f2_age_x_years_since_last_fight,2.0
f1_wins_last_3_years,2.0
striker_vs_grappler,2.0
f2_round_3_win_rate,2.0
f1_first_round_finish_rate,2.0
f1_win_rate_last_3,2.0
first_round_finish_rate_diff,2.0
f1_losses_since_last_win,2.0
f1_weight_lbs,2.0
f2_round_3_fight_rate,2.0
f2_decision_losses_since_last_win,2.0
f1_striking_accuracy,2.0
f2_early_finish_advantage,2.0
f1_finish_rate_last_3_years,2.0
f2_early_finish_rate_last_5,2.0
f2_finish_rate_last_3_years,2.0
f1_finish_rate_last_5,2.0
recent_form_diff,2.0
f2_stance_orthodox,1.0
f2_long_layoff_over_1yr,1.0
decision_losses_since_last_win_diff,1.0
f2_recent_losses_last_2,1.0
f1_ko_rate_last_3,1.0
f2_ko_rate_last_3,1.0
f2_finish_rate_last_3,1.0
f2_age_in_prime,1.0
f1_recent_losses_last_2,1.0
f1_age_past_prime,1.0
f2_early_finish_rate_last_3,1.0
f1_recent_finish_loss_last_fight,1.0
f1_current_win_streak,1.0
f2_weight_lbs,1.0
f2_win_rate_last_5,1.0
f2_wins_last_3_years,1.0
f2_youth_form_score,1.0
f1_decision_losses_since_last_win,1.0
f2_current_win_streak,1.0
f1_current_loss_streak,1.0
losses_since_last_win_diff,1.0
num_common_opponents,1.0
f1_first_round_ko_rate,1.0
f1_round_3_finish_rate,1.0
early_finish_rate_last_3_diff,1.0
f1_recent_finish_loss_ratio_last_2,1.0
f2_recent_finish_loss_ratio_last_2,1.0
